OPERADORA;COD_OPERADORA;TIPO_SERVICO;COD_SERVICO;EMPRESA;COD_EMPRESA;UF;COD_UF;CIDADE;COD_CIDADE;TIPO_RECURSO;COD_TIPO_RECURSO;VALOR_MENSAL
ALGAR CTBC;1;DADOS;1;SMARTSAVING;1;SC;18;PALHOCA;101;LINK DEDICADO;9;1350,01
ALGAR CTBC;1;DADOS;1;SMARTSAVING;2;BA;4;SALVADOR;121;LINK DEDICADO;9;382,78
ALGAR CTBC;1;DADOS;1;SMARTSAVING;2;BA;4;SALVADOR;121;LINK DEDICADO;9;384
ALGAR CTBC;1;DADOS;1;SMARTSAVING;2;BA;4;SALVADOR;121;LINK DEDICADO;9;574,16
ALGAR CTBC;1;DADOS;1;SMARTSAVING;2;BA;4;SALVADOR;121;LINK DEDICADO;9;576
ALGAR CTBC;1;DADOS;1;SMARTSAVING;2;CE;5;FORTALEZA;63;LINK DEDICADO;9;380
ALGAR CTBC;1;DADOS;1;SMARTSAVING;2;CE;5;FORTALEZA;63;LINK DEDICADO;9;569,99
ALGAR CTBC;1;DADOS;1;SMARTSAVING;2;PB;10;JOAO PESSOA;80;LINK DEDICADO;9;384
ALGAR CTBC;1;DADOS;1;SMARTSAVING;2;PB;10;JOAO PESSOA;80;LINK DEDICADO;9;576
ALGAR CTBC;1;DADOS;1;SMARTSAVING;2;PE;11;OLINDA;99;LINK DEDICADO;9;384
ALGAR CTBC;1;DADOS;1;SMARTSAVING;2;PE;11;OLINDA;99;LINK DEDICADO;9;576
ALGAR CTBC;1;DADOS;1;SMARTSAVING;2;PE;11;RECIFE;114;LINK DEDICADO;9;320
ALGAR CTBC;1;DADOS;1;SMARTSAVING;2;PE;11;RECIFE;114;LINK DEDICADO;9;480
ALGAR CTBC;1;DADOS;1;SMARTSAVING;2;PR;13;CURITIBA;56;LINK DEDICADO;9;384
ALGAR CTBC;1;DADOS;1;SMARTSAVING;2;PR;13;CURITIBA;56;LINK DEDICADO;9;576,01
